metric,comparison,case_id,left_value,right_value,difference,left_execution,right_execution,left_state,right_state,effect
total_tokens,B-A,intelligent_ring,180,60,120,succeeded,succeeded,observed,observed,worsened
total_tokens,C-B,ai_education,165,120,45,succeeded,succeeded,observed,observed,worsened
total_tokens,C-B,intelligent_ring,270,180,90,succeeded,succeeded,observed,observed,worsened
total_tokens,C-D,ai_education,165,165,0,succeeded,succeeded,observed,observed,tied
total_tokens,C-D,intelligent_ring,270,270,0,succeeded,succeeded,observed,observed,tied
transport_retry_count,B-A,ai_education,0,0,0,succeeded,succeeded,observed,observed,tied
transport_retry_count,B-A,intelligent_ring,0,0,0,succeeded,succeeded,observed,observed,tied
transport_retry_count,C-B,ai_education,0,0,0,succeeded,succeeded,observed,observed,tied
transport_retry_count,C-B,intelligent_ring,0,0,0,succeeded,succeeded,observed,observed,tied
transport_retry_count,C-D,ai_education,0,0,0,succeeded,succeeded,observed,observed,tied
transport_retry_count,C-D,intelligent_ring,0,0,0,succeeded,succeeded,observed,observed,tied
peak_ram_bytes,B-A,ai_education,8589934592,8589934592,0,succeeded,succeeded,observed,observed,tied
peak_ram_bytes,B-A,intelligent_ring,8589934592,8589934592,0,succeeded,succeeded,observed,observed,tied
peak_ram_bytes,C-B,ai_education,8589934592,8589934592,0,succeeded,succeeded,observed,observed,tied
peak_ram_bytes,C-B,intelligent_ring,8589934592,8589934592,0,succeeded,succeeded,observed,observed,tied
peak_ram_bytes,C-D,ai_education,8589934592,8589934592,0,succeeded,succeeded,observed,observed,tied
peak_ram_bytes,C-D,intelligent_ring,8589934592,8589934592,0,succeeded,succeeded,observed,observed,tied
peak_vram_bytes,B-A,ai_education,0,0,0,succeeded,succeeded,observed,observed,tied
peak_vram_bytes,B-A,intelligent_ring,0,0,0,succeeded,succeeded,observed,observed,tied
peak_vram_bytes,C-B,ai_education,0,0,0,succeeded,succeeded,observed,observed,tied
peak_vram_bytes,C-B,intelligent_ring,0,0,0,succeeded,succeeded,observed,observed,tied
peak_vram_bytes,C-D,ai_education,0,0,0,succeeded,succeeded,observed,observed,tied
peak_vram_bytes,C-D,intelligent_ring,0,0,0,succeeded,succeeded,observed,observed,tied
peak_pagefile_bytes,B-A,ai_education,1073741824,1073741824,0,succeeded,succeeded,observed,observed,tied
peak_pagefile_bytes,B-A,intelligent_ring,1073741824,1073741824,0,succeeded,succeeded,observed,observed,tied
peak_pagefile_bytes,C-B,ai_education,1073741824,1073741824,0,succeeded,succeeded,observed,observed,tied
peak_pagefile_bytes,C-B,intelligent_ring,1073741824,1073741824,0,succeeded,succeeded,observed,observed,tied
peak_pagefile_bytes,C-D,ai_education,1073741824,1073741824,0,succeeded,succeeded,observed,observed,tied
peak_pagefile_bytes,C-D,intelligent_ring,1073741824,1073741824,0,succeeded,succeeded,observed,observed,tied
academic_quality,B-A,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
academic_quality,B-A,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
academic_quality,C-B,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
academic_quality,C-B,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
academic_quality,C-D,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
academic_quality,C-D,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
claim_grounding,B-A,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
claim_grounding,B-A,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
claim_grounding,C-B,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
claim_grounding,C-B,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
claim_grounding,C-D,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
claim_grounding,C-D,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
assumption_transparency,B-A,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
assumption_transparency,B-A,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
assumption_transparency,C-B,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
assumption_transparency,C-B,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
assumption_transparency,C-D,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
assumption_transparency,C-D,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
high_impact_unsupported,B-A,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
high_impact_unsupported,B-A,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
high_impact_unsupported,C-B,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
high_impact_unsupported,C-B,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
high_impact_unsupported,C-D,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
high_impact_unsupported,C-D,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
