record_type,planned_id,case_id,condition,order,packet_sha256,brief_sha256,canonical,execution,terminal_contract,scorable_output,needs_human_review,run_id,run_path,failure_reason,workflow_status,mvp30,valid_plan60,artifact_class,academic_quality,academic_quality_state,claim_grounding,claim_grounding_state,claim_grounding_numerator,claim_grounding_denominator,assumption_transparency,assumption_transparency_state,assumption_transparency_numerator,assumption_transparency_denominator,high_impact_unsupported,high_impact_unsupported_state,high_impact_unsupported_numerator,high_impact_unsupported_denominator,request_count,prompt_tokens,output_tokens,total_tokens,visible_output_tokens,thinking_tokens,thinking_tokens_known,thinking_status,transport_retry_count,structure_repair_count,semantic_revision_request_count,usage_missing_calls,first_valid_plan_seconds,first_valid_plan_state,observed_first_complete_contract_seconds,first_mvp30_material_seconds,first_mvp30_material_state,deterministic_mechanical_repair_count,peak_ram_bytes,peak_vram_bytes,peak_pagefile_bytes,peak_ram_bytes_state,peak_vram_bytes_state,peak_pagefile_bytes_state,telemetry_samples,event_sha256,first_valid_plan_seconds_state,first_mvp30_material_seconds_state,mvp30_material,mvp30_material_state,mvp30_material_numerator,mvp30_material_denominator,valid_plan60_state,valid_plan60_numerator,valid_plan60_denominator,request_count_state,transport_retry_count_state,total_tokens_state,first_contract,first_contract_numerator,first_contract_denominator,first_contract_state,first_contract_reason,handoff,handoff_numerator,handoff_denominator,handoff_state,handoff_reason,review_token_share,review_token_share_numerator,review_token_share_denominator,review_token_share_state,review_token_share_reason,completion,completion_state,completion_numerator,completion_denominator,role,applicability,prompt_tokens_known,output_tokens_known,total_tokens_known,usage_incomplete,usage_missing_fields,total_token_basis
role,ai_education-A,ai_education,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,strategy,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-A,ai_education,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,finance,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-A,ai_education,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,writer,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-A,ai_education,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,research_critic,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-A,ai_education,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,strategy_critic,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-A,ai_education,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,finance_critic,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-A,ai_education,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,final_critic,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-A,ai_education,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,Revision,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-A,ai_education,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,Supervisor,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-A,ai_education,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,export,applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-B,ai_education,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,single,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-B,ai_education,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3862,2192,7755,2192,1701,1701,observed,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 0.0, ""numerator"": 0, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,research,applicable,3862,2192,7755,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-B,ai_education,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2931,1307,5259,1307,1021,1021,observed,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,strategy,applicable,2931,1307,5259,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-B,ai_education,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4600,1470,6993,1470,923,923,observed,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,finance,applicable,4600,1470,6993,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-B,ai_education,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5263,1939,8125,1939,923,923,observed,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,writer,applicable,5263,1939,8125,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-B,ai_education,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,research_critic,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-B,ai_education,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,strategy_critic,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-B,ai_education,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,finance_critic,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-B,ai_education,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3471,19,4299,19,809,809,observed,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,final_critic,applicable,3471,19,4299,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-B,ai_education,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,Revision,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-B,ai_education,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,Supervisor,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-B,ai_education,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,export,applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-C,ai_education,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,single,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-C,ai_education,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3862,2192,7755,2192,1701,1701,observed,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 0.0, ""numerator"": 0, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,research,applicable,3862,2192,7755,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-C,ai_education,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2931,1307,5259,1307,1021,1021,observed,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,strategy,applicable,2931,1307,5259,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-C,ai_education,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4600,1470,6993,1470,923,923,observed,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,finance,applicable,4600,1470,6993,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-C,ai_education,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,writer,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-C,ai_education,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2976,21,3805,21,808,808,observed,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,research_critic,applicable,2976,21,3805,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-C,ai_education,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3131,15,3984,15,838,838,observed,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,strategy_critic,applicable,3131,15,3984,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-C,ai_education,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5138,178,7156,178,1840,1840,observed,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 0.0, ""numerator"": 0, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,finance_critic,applicable,5138,178,7156,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-C,ai_education,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,final_critic,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-C,ai_education,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1108,14,2708,14,1586,1586,observed,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 0.0, ""numerator"": 0, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,Revision,applicable,1108,14,2708,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-C,ai_education,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,Supervisor,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,intelligent_ring-C,intelligent_ring,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,single,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,intelligent_ring-C,intelligent_ring,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4072,2327,8096,2327,1697,1697,observed,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 0.0, ""numerator"": 0, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,research,applicable,4072,2327,8096,False,[],provider total (includes returned thinking); never add thinking to total again
role,intelligent_ring-C,intelligent_ring,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,strategy,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,intelligent_ring-C,intelligent_ring,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,finance,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,intelligent_ring-C,intelligent_ring,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,writer,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
role,intelligent_ring-C,intelligent_ring,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,research_critic,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
