planned_id,case_id,condition,logical_task_id,role,first_output_passed,state,actual_attempt_count,attempt_ids
ai_education-C,ai_education,C,writer.v1.batch2,writer,True,observed,1,"[""373bcd2d-1ac9-4726-821d-bc0fe3c812a7""]"
ai_education-C,ai_education,C,writer.v1.batch3,writer,True,observed,1,"[""243c5b43-3a90-47d6-acd1-7c3dc9d87cdc""]"
ai_education-C,ai_education,C,writer.v1.batch4,writer,True,observed,1,"[""180ecd40-d960-49e5-b3fd-3345475b9ace""]"
intelligent_ring-C,intelligent_ring,C,final.critic.v1,final_critic,True,observed,1,"[""116e25b4-27a3-4c9f-a375-88b58e58b0c3""]"
intelligent_ring-C,intelligent_ring,C,finance.critic.v1,finance_critic,True,observed,1,"[""86890863-5600-4f85-96cf-daab71fcf66d""]"
intelligent_ring-C,intelligent_ring,C,finance.v1,finance,True,observed,1,"[""e4c1ab4f-467e-46ed-9086-5498b79dbfca""]"
intelligent_ring-C,intelligent_ring,C,finance.v2,Revision,True,observed,1,"[""f592621c-8b77-4563-8126-5c4928c63a3c""]"
intelligent_ring-C,intelligent_ring,C,research.critic.v1,research_critic,True,observed,1,"[""5c944c0b-294b-43db-8519-491b05197d28""]"
intelligent_ring-C,intelligent_ring,C,research.v1,research,True,observed,1,"[""e1ecf5ed-0742-4540-bc99-b8e9a0f510d6""]"
intelligent_ring-C,intelligent_ring,C,research.v2,Revision,True,observed,1,"[""0090cf95-cc33-4455-aeb0-6853ea01b2f2""]"
intelligent_ring-C,intelligent_ring,C,strategy.critic.v1,strategy_critic,True,observed,1,"[""3e02e65e-72c0-41fd-9f11-bb4004a39f49""]"
intelligent_ring-C,intelligent_ring,C,strategy.v1,strategy,True,observed,1,"[""0bc7a3a9-6f6b-4e71-8046-e64ba61a1a62""]"
intelligent_ring-C,intelligent_ring,C,strategy.v2,Revision,True,observed,1,"[""73b8e581-7875-4db7-9be2-967d87b56c3e""]"
intelligent_ring-C,intelligent_ring,C,terminal.v1,export,True,observed,0,[]
intelligent_ring-C,intelligent_ring,C,writer.v1.batch1,writer,True,observed,1,"[""6a1f1c78-9497-441a-b20b-60cf4ca2b610""]"
intelligent_ring-C,intelligent_ring,C,writer.v1.batch2,writer,True,observed,1,"[""c026ce3b-41d0-4500-9f5b-0ed55e5050ae""]"
intelligent_ring-C,intelligent_ring,C,writer.v1.batch3,writer,True,observed,1,"[""37fc9217-6e16-4e48-b54b-27e6fc477ef5""]"
intelligent_ring-C,intelligent_ring,C,writer.v1.batch4,writer,True,observed,1,"[""7aae58b2-8949-4b1f-b372-8a133c580e78""]"
intelligent_ring-C,intelligent_ring,C,writer.v2.batch1,Revision,True,observed,1,"[""c6278863-5c6c-46df-b97b-53ec6282c508""]"
intelligent_ring-C,intelligent_ring,C,writer.v2.batch2,Revision,True,observed,1,"[""0eacc79b-01d4-4f36-ab94-86f219777d13""]"
intelligent_ring-C,intelligent_ring,C,writer.v2.batch3,Revision,True,observed,1,"[""c07ba756-7e5f-4d7d-8c21-8b9eeb4d815c""]"
intelligent_ring-C,intelligent_ring,C,writer.v2.batch4,Revision,True,observed,1,"[""d3829a07-2436-48e3-9d28-ba53452e8237""]"
intelligent_ring-B,intelligent_ring,B,final.critic.v1,final_critic,True,observed,1,"[""99c3650f-a58f-4856-bd4b-9dfb0600bfa0""]"
intelligent_ring-B,intelligent_ring,B,finance.v1,finance,True,observed,1,"[""a606f6d5-066b-44c9-8965-67b45941e208""]"
intelligent_ring-B,intelligent_ring,B,research.v1,research,True,observed,1,"[""69c67405-e6a5-4941-aa7c-94fa265829ca""]"
intelligent_ring-B,intelligent_ring,B,strategy.v1,strategy,True,observed,1,"[""7b6d06e4-4439-4184-b818-1d7e1ae79062""]"
intelligent_ring-B,intelligent_ring,B,terminal.v1,export,True,observed,0,[]
intelligent_ring-B,intelligent_ring,B,writer.v1.batch1,writer,True,observed,1,"[""4d57aaf6-312a-4717-8170-f49bebc59947""]"
intelligent_ring-B,intelligent_ring,B,writer.v1.batch2,writer,True,observed,1,"[""9e6a86a8-4ca2-43ba-a6d2-58632574f16c""]"
intelligent_ring-B,intelligent_ring,B,writer.v1.batch3,writer,True,observed,1,"[""ac3f6db6-c3eb-40c9-a367-343b76d42d87""]"
intelligent_ring-B,intelligent_ring,B,writer.v1.batch4,writer,True,observed,1,"[""bd2c4db8-b7a7-4bf6-8751-b88f1838492c""]"
intelligent_ring-B,intelligent_ring,B,writer.v2.batch1,Revision,True,observed,1,"[""96be70aa-ae9d-4297-b4bb-f3a744b1b01f""]"
intelligent_ring-B,intelligent_ring,B,writer.v2.batch2,Revision,True,observed,1,"[""5dd21aad-96a4-4f1d-a7f2-e6ed8f3dcad8""]"
intelligent_ring-B,intelligent_ring,B,writer.v2.batch3,Revision,True,observed,1,"[""18fb96c6-791c-436e-95f4-1a5861a63859""]"
intelligent_ring-B,intelligent_ring,B,writer.v2.batch4,Revision,True,observed,1,"[""c11849ea-8066-4bda-af98-8593d8bcd36d""]"
intelligent_ring-D,intelligent_ring,D,final.critic.v1,final_critic,True,observed,1,"[""23873c9f-c157-41b0-97d0-d7d8d59189f0""]"
intelligent_ring-D,intelligent_ring,D,finance.critic.v1,finance_critic,True,observed,1,"[""8a3098a4-dac3-4711-9d3c-7f23845de80d""]"
intelligent_ring-D,intelligent_ring,D,finance.v1,finance,True,observed,1,"[""f7a98ae9-723b-4d92-b250-ebe62a704510""]"
intelligent_ring-D,intelligent_ring,D,finance.v2,Revision,True,observed,1,"[""243c9c50-801b-4a50-a7bd-584474230da8""]"
intelligent_ring-D,intelligent_ring,D,research.critic.v1,research_critic,True,observed,1,"[""b5adeefd-5eb8-457a-bf81-09919fe326d7""]"
intelligent_ring-D,intelligent_ring,D,research.v1,research,True,observed,1,"[""400047ef-be16-4487-9d29-522fe62909a1""]"
intelligent_ring-D,intelligent_ring,D,research.v2,Revision,True,observed,1,"[""718a551b-99b4-4626-86b3-59a360d85768""]"
intelligent_ring-D,intelligent_ring,D,strategy.critic.v1,strategy_critic,True,observed,1,"[""8c2a0bd1-84a9-48fc-a2a8-8270d0a91fd9""]"
intelligent_ring-D,intelligent_ring,D,strategy.v1,strategy,True,observed,1,"[""82773e79-ce11-4916-87a7-1efc0d4c9f43""]"
intelligent_ring-D,intelligent_ring,D,strategy.v2,Revision,True,observed,1,"[""1f8e60a3-1fbf-4c88-b53b-4ac41cdf7aee""]"
intelligent_ring-D,intelligent_ring,D,terminal.v1,export,True,observed,0,[]
intelligent_ring-D,intelligent_ring,D,writer.v1.batch1,writer,True,observed,1,"[""c159dfea-dcfb-4082-a974-4a3faee3e9ba""]"
intelligent_ring-D,intelligent_ring,D,writer.v1.batch2,writer,True,observed,1,"[""bdf6f74f-6c0d-4148-bc7d-e82fd91b7f9e""]"
intelligent_ring-D,intelligent_ring,D,writer.v1.batch3,writer,True,observed,1,"[""3266ed70-1304-4727-bc3c-3d4981b846b5""]"
intelligent_ring-D,intelligent_ring,D,writer.v1.batch4,writer,True,observed,1,"[""234036db-2142-4fa6-8b18-c2d8cbb9b8e5""]"
intelligent_ring-D,intelligent_ring,D,writer.v2.batch1,Revision,True,observed,1,"[""687183a5-b54c-424f-b512-fa76dd43392d""]"
intelligent_ring-D,intelligent_ring,D,writer.v2.batch2,Revision,True,observed,1,"[""fced8e50-3099-4807-95c7-f051a1cb3d48""]"
intelligent_ring-D,intelligent_ring,D,writer.v2.batch3,Revision,True,observed,1,"[""254c1137-fb79-4fa0-ae70-ad1c086b7a96""]"
intelligent_ring-D,intelligent_ring,D,writer.v2.batch4,Revision,True,observed,1,"[""10621526-efba-4ba5-89ab-e1b3c2cb6324""]"
intelligent_ring-A,intelligent_ring,A,single.v1.batch1,single,True,observed,1,"[""1fb17ab3-6a5e-4938-a73c-e3bfa2115315""]"
intelligent_ring-A,intelligent_ring,A,single.v1.batch2,single,True,observed,1,"[""986f5362-7558-44f0-9d56-02ee6a0cc8d5""]"
intelligent_ring-A,intelligent_ring,A,single.v1.batch3,single,True,observed,1,"[""b88b2eaa-6b08-4d72-b64e-ef51ff2a74ba""]"
intelligent_ring-A,intelligent_ring,A,single.v1.batch4,single,True,observed,1,"[""e1a2ab57-f86a-4ba6-8244-9de58fa6f4c2""]"
intelligent_ring-A,intelligent_ring,A,terminal.v1,export,True,observed,0,[]
