metric,comparison,case_id,left_value,right_value,difference,left_execution,right_execution,left_state,right_state,effect
review_token_share,C-B,intelligent_ring,0.0,0.11196493466862707,-0.11196493466862707,failed,succeeded,observed,observed,descriptive
first_valid_plan_seconds,B-A,ai_education,55.3279999999977,12.375,42.9529999999977,succeeded,succeeded,observed,observed,worsened
first_valid_plan_seconds,B-A,intelligent_ring,62.88999999999942,,,succeeded,failed,observed,not_completed,missing
first_valid_plan_seconds,C-B,ai_education,,55.3279999999977,,failed,succeeded,not_completed,observed,missing
first_valid_plan_seconds,C-B,intelligent_ring,,62.88999999999942,,failed,succeeded,not_completed,observed,missing
request_count,B-A,ai_education,6,1,5,succeeded,succeeded,observed,observed,worsened
request_count,B-A,intelligent_ring,6,1,5,succeeded,failed,observed,observed,worsened
request_count,C-B,ai_education,10,6,4,failed,succeeded,observed,observed,worsened
request_count,C-B,intelligent_ring,2,6,-4,failed,succeeded,observed,observed,improved
total_tokens,B-A,ai_education,32431,6095,26336,succeeded,succeeded,observed,observed,worsened
total_tokens,B-A,intelligent_ring,36047,6765,29282,succeeded,failed,observed,observed,worsened
total_tokens,C-B,ai_education,37660,32431,5229,failed,succeeded,observed,observed,worsened
total_tokens,C-B,intelligent_ring,8096,36047,-27951,failed,succeeded,observed,observed,improved
transport_retry_count,B-A,ai_education,0,0,0,succeeded,succeeded,observed,observed,tied
transport_retry_count,B-A,intelligent_ring,0,0,0,succeeded,failed,observed,observed,tied
transport_retry_count,C-B,ai_education,0,0,0,failed,succeeded,observed,observed,tied
transport_retry_count,C-B,intelligent_ring,0,0,0,failed,succeeded,observed,observed,tied
peak_ram_bytes,B-A,ai_education,11944763392,11771469824,173293568,succeeded,succeeded,observed,observed,worsened
peak_ram_bytes,B-A,intelligent_ring,13416689664,11657756672,1758932992,succeeded,failed,observed,observed,worsened
peak_ram_bytes,C-B,ai_education,11933478912,11944763392,-11284480,failed,succeeded,observed,observed,improved
peak_ram_bytes,C-B,intelligent_ring,11861291008,13416689664,-1555398656,failed,succeeded,observed,observed,improved
peak_vram_bytes,B-A,ai_education,0,0,0,succeeded,succeeded,observed,observed,tied
peak_vram_bytes,B-A,intelligent_ring,0,0,0,succeeded,failed,observed,observed,tied
peak_vram_bytes,C-B,ai_education,0,0,0,failed,succeeded,observed,observed,tied
peak_vram_bytes,C-B,intelligent_ring,0,0,0,failed,succeeded,observed,observed,tied
peak_pagefile_bytes,B-A,ai_education,42946560,42946560,0,succeeded,succeeded,observed,observed,tied
peak_pagefile_bytes,B-A,intelligent_ring,44302336,44302336,0,succeeded,failed,observed,observed,tied
peak_pagefile_bytes,C-B,ai_education,44920832,42946560,1974272,failed,succeeded,observed,observed,worsened
peak_pagefile_bytes,C-B,intelligent_ring,44302336,44302336,0,failed,succeeded,observed,observed,tied
academic_quality,B-A,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
academic_quality,B-A,intelligent_ring,,,,succeeded,failed,pending_human_review,no_scorable_output,missing
academic_quality,C-B,ai_education,,,,failed,succeeded,no_scorable_output,pending_human_review,missing
academic_quality,C-B,intelligent_ring,,,,failed,succeeded,no_scorable_output,pending_human_review,missing
claim_grounding,B-A,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
claim_grounding,B-A,intelligent_ring,,,,succeeded,failed,pending_human_review,no_scorable_output,missing
claim_grounding,C-B,ai_education,,,,failed,succeeded,no_scorable_output,pending_human_review,missing
claim_grounding,C-B,intelligent_ring,,,,failed,succeeded,no_scorable_output,pending_human_review,missing
assumption_transparency,B-A,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
assumption_transparency,B-A,intelligent_ring,,,,succeeded,failed,pending_human_review,no_scorable_output,missing
assumption_transparency,C-B,ai_education,,,,failed,succeeded,no_scorable_output,pending_human_review,missing
assumption_transparency,C-B,intelligent_ring,,,,failed,succeeded,no_scorable_output,pending_human_review,missing
high_impact_unsupported,B-A,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
high_impact_unsupported,B-A,intelligent_ring,,,,succeeded,failed,pending_human_review,no_scorable_output,missing
high_impact_unsupported,C-B,ai_education,,,,failed,succeeded,no_scorable_output,pending_human_review,missing
high_impact_unsupported,C-B,intelligent_ring,,,,failed,succeeded,no_scorable_output,pending_human_review,missing
