condition,metric,mean,median,valid_cases,planned_cases,aggregation
A,completion,0.5,0.5,2,2,equal weight of applicable case values; no pooling claim denominators
C,handoff,0.38412698412698415,0.38412698412698415,2,2,equal weight of applicable case values; no pooling claim denominators
C,review_token_share,0.19842007434944237,0.19842007434944237,2,2,equal weight of applicable case values; no pooling claim denominators
C,first_valid_plan_seconds,,,0,2,equal weight of applicable case values; no pooling claim denominators
C,request_count,6,6.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,total_tokens,22878,22878.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,transport_retry_count,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,peak_ram_bytes,11897384960,11897384960.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,peak_vram_bytes,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,peak_pagefile_bytes,44611584,44611584.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,academic_quality,,,0,2,equal weight of applicable case values; no pooling claim denominators
C,claim_grounding,,,0,2,equal weight of applicable case values; no pooling claim denominators
C,assumption_transparency,,,0,2,equal weight of applicable case values; no pooling claim denominators
C,high_impact_unsupported,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,completion,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,mvp30_material,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,valid_plan60,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,first_mvp30_material_seconds,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,first_contract,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,handoff,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,review_token_share,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,first_valid_plan_seconds,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,request_count,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,total_tokens,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,transport_retry_count,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,peak_ram_bytes,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,peak_vram_bytes,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,peak_pagefile_bytes,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,academic_quality,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,claim_grounding,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,assumption_transparency,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,high_impact_unsupported,,,0,2,equal weight of applicable case values; no pooling claim denominators
