metric,comparison,case_id,left_value,right_value,difference,left_execution,right_execution,left_state,right_state,effect
review_token_share,C-B,ai_education,0.5,0.2,0.3,succeeded,succeeded,observed,observed,descriptive
review_token_share,C-B,intelligent_ring,0.3333333333333333,0.16666666666666666,0.16666666666666666,succeeded,succeeded,observed,observed,descriptive
review_token_share,C-D,ai_education,0.5,0.5,0.0,succeeded,succeeded,observed,observed,descriptive
review_token_share,C-D,intelligent_ring,0.3333333333333333,0.3333333333333333,0.0,succeeded,succeeded,observed,observed,descriptive
first_valid_plan_seconds,B-A,ai_education,0.29700000000002547,0.125,0.17200000000002547,succeeded,succeeded,observed,observed,worsened
first_valid_plan_seconds,B-A,intelligent_ring,0.375,0.1089999999999236,0.2660000000000764,succeeded,succeeded,observed,observed,worsened
first_valid_plan_seconds,C-B,ai_education,0.40599999999994907,0.29700000000002547,0.1089999999999236,succeeded,succeeded,observed,observed,worsened
first_valid_plan_seconds,C-B,intelligent_ring,0.6089999999999236,0.375,0.2339999999999236,succeeded,succeeded,observed,observed,worsened
first_valid_plan_seconds,C-D,ai_education,0.40599999999994907,0.4679999999998472,-0.06199999999989814,succeeded,succeeded,observed,observed,improved
first_valid_plan_seconds,C-D,intelligent_ring,0.6089999999999236,0.6559999999999491,-0.047000000000025466,succeeded,succeeded,observed,observed,improved
request_count,B-A,ai_education,5,1,4,succeeded,succeeded,observed,observed,worsened
request_count,B-A,intelligent_ring,6,1,5,succeeded,succeeded,observed,observed,worsened
request_count,C-B,ai_education,8,5,3,succeeded,succeeded,observed,observed,worsened
request_count,C-B,intelligent_ring,12,6,6,succeeded,succeeded,observed,observed,worsened
request_count,C-D,ai_education,8,8,0,succeeded,succeeded,observed,observed,tied
request_count,C-D,intelligent_ring,12,12,0,succeeded,succeeded,observed,observed,tied
total_tokens,B-A,ai_education,75,15,60,succeeded,succeeded,observed,observed,worsened
total_tokens,B-A,intelligent_ring,90,15,75,succeeded,succeeded,observed,observed,worsened
total_tokens,C-B,ai_education,120,75,45,succeeded,succeeded,observed,observed,worsened
total_tokens,C-B,intelligent_ring,180,90,90,succeeded,succeeded,observed,observed,worsened
total_tokens,C-D,ai_education,120,120,0,succeeded,succeeded,observed,observed,tied
total_tokens,C-D,intelligent_ring,180,180,0,succeeded,succeeded,observed,observed,tied
transport_retry_count,B-A,ai_education,0,0,0,succeeded,succeeded,observed,observed,tied
transport_retry_count,B-A,intelligent_ring,0,0,0,succeeded,succeeded,observed,observed,tied
transport_retry_count,C-B,ai_education,0,0,0,succeeded,succeeded,observed,observed,tied
transport_retry_count,C-B,intelligent_ring,0,0,0,succeeded,succeeded,observed,observed,tied
transport_retry_count,C-D,ai_education,0,0,0,succeeded,succeeded,observed,observed,tied
transport_retry_count,C-D,intelligent_ring,0,0,0,succeeded,succeeded,observed,observed,tied
peak_ram_bytes,B-A,ai_education,8589934592,8589934592,0,succeeded,succeeded,observed,observed,tied
peak_ram_bytes,B-A,intelligent_ring,8589934592,8589934592,0,succeeded,succeeded,observed,observed,tied
peak_ram_bytes,C-B,ai_education,8589934592,8589934592,0,succeeded,succeeded,observed,observed,tied
peak_ram_bytes,C-B,intelligent_ring,8589934592,8589934592,0,succeeded,succeeded,observed,observed,tied
peak_ram_bytes,C-D,ai_education,8589934592,8589934592,0,succeeded,succeeded,observed,observed,tied
peak_ram_bytes,C-D,intelligent_ring,8589934592,8589934592,0,succeeded,succeeded,observed,observed,tied
peak_vram_bytes,B-A,ai_education,0,0,0,succeeded,succeeded,observed,observed,tied
peak_vram_bytes,B-A,intelligent_ring,0,0,0,succeeded,succeeded,observed,observed,tied
peak_vram_bytes,C-B,ai_education,0,0,0,succeeded,succeeded,observed,observed,tied
peak_vram_bytes,C-B,intelligent_ring,0,0,0,succeeded,succeeded,observed,observed,tied
peak_vram_bytes,C-D,ai_education,0,0,0,succeeded,succeeded,observed,observed,tied
peak_vram_bytes,C-D,intelligent_ring,0,0,0,succeeded,succeeded,observed,observed,tied
peak_pagefile_bytes,B-A,ai_education,1073741824,1073741824,0,succeeded,succeeded,observed,observed,tied
peak_pagefile_bytes,B-A,intelligent_ring,1073741824,1073741824,0,succeeded,succeeded,observed,observed,tied
peak_pagefile_bytes,C-B,ai_education,1073741824,1073741824,0,succeeded,succeeded,observed,observed,tied
peak_pagefile_bytes,C-B,intelligent_ring,1073741824,1073741824,0,succeeded,succeeded,observed,observed,tied
peak_pagefile_bytes,C-D,ai_education,1073741824,1073741824,0,succeeded,succeeded,observed,observed,tied
peak_pagefile_bytes,C-D,intelligent_ring,1073741824,1073741824,0,succeeded,succeeded,observed,observed,tied
academic_quality,B-A,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
academic_quality,B-A,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
academic_quality,C-B,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
academic_quality,C-B,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
academic_quality,C-D,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
academic_quality,C-D,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
claim_grounding,B-A,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
claim_grounding,B-A,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
claim_grounding,C-B,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
claim_grounding,C-B,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
claim_grounding,C-D,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
claim_grounding,C-D,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
assumption_transparency,B-A,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
assumption_transparency,B-A,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
assumption_transparency,C-B,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
assumption_transparency,C-B,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
assumption_transparency,C-D,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
assumption_transparency,C-D,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
high_impact_unsupported,B-A,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
high_impact_unsupported,B-A,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
high_impact_unsupported,C-B,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
high_impact_unsupported,C-B,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
high_impact_unsupported,C-D,ai_education,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
high_impact_unsupported,C-D,intelligent_ring,,,,succeeded,succeeded,pending_human_review,pending_human_review,missing
