condition,metric,mean,median,valid_cases,planned_cases,aggregation
A,completion,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,total_tokens,82.5,82.5,2,2,equal weight of applicable case values; no pooling claim denominators
B,transport_retry_count,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,peak_ram_bytes,8589934592,8589934592.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,peak_vram_bytes,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,peak_pagefile_bytes,1073741824,1073741824.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,academic_quality,,,0,2,equal weight of applicable case values; no pooling claim denominators
B,claim_grounding,,,0,2,equal weight of applicable case values; no pooling claim denominators
B,assumption_transparency,,,0,2,equal weight of applicable case values; no pooling claim denominators
B,high_impact_unsupported,,,0,2,equal weight of applicable case values; no pooling claim denominators
C,completion,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,mvp30_material,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,valid_plan60,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,first_mvp30_material_seconds,0.43000000000006366,0.43000000000006366,2,2,equal weight of applicable case values; no pooling claim denominators
C,first_contract,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,handoff,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,review_token_share,0.41666666666666663,0.41666666666666663,2,2,equal weight of applicable case values; no pooling claim denominators
C,first_valid_plan_seconds,0.5074999999999363,0.5074999999999363,2,2,equal weight of applicable case values; no pooling claim denominators
C,request_count,10,10.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,total_tokens,150,150.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,transport_retry_count,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,peak_ram_bytes,8589934592,8589934592.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,peak_vram_bytes,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,peak_pagefile_bytes,1073741824,1073741824.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,academic_quality,,,0,2,equal weight of applicable case values; no pooling claim denominators
C,claim_grounding,,,0,2,equal weight of applicable case values; no pooling claim denominators
C,assumption_transparency,,,0,2,equal weight of applicable case values; no pooling claim denominators
C,high_impact_unsupported,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,completion,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,mvp30_material,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,valid_plan60,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,first_mvp30_material_seconds,0.45299999999997453,0.45299999999997453,2,2,equal weight of applicable case values; no pooling claim denominators
D,first_contract,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,handoff,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,review_token_share,0.41666666666666663,0.41666666666666663,2,2,equal weight of applicable case values; no pooling claim denominators
D,first_valid_plan_seconds,0.5619999999998981,0.5619999999998981,2,2,equal weight of applicable case values; no pooling claim denominators
D,request_count,10,10.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,total_tokens,150,150.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,transport_retry_count,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,peak_ram_bytes,8589934592,8589934592.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,peak_vram_bytes,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,peak_pagefile_bytes,1073741824,1073741824.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,academic_quality,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,claim_grounding,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,assumption_transparency,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,high_impact_unsupported,,,0,2,equal weight of applicable case values; no pooling claim denominators
